date,AAL,DAL,UAL,LUV,ALK
2022-06-10,1.6957335446822295,1.4112675128358791,1.664717896139771,1.0532498189638877,1.2467965344327403
2022-06-13,1.7277785104362993,1.4422641667293843,1.7042569979101891,1.0763199349848052,1.270249423675473
2022-06-14,1.7291628250456323,1.4435855892778138,1.703731749723969,1.076790476415997,1.270542888721829
2022-06-15,1.7326124036148673,1.4441614499797804,1.7061445100827404,1.0710637423710336,1.2696940039874935
2022-06-16,1.7570276494730503,1.466910862191593,1.728075594633335,1.0918880353120426,1.28508463409556
2022-06-17,1.7707874976802949,1.4784895393437052,1.7434852394002216,1.096204579447898,1.298185456822086
2022-06-21,1.7532568095713597,1.4501413044730496,1.7223635930331616,1.0703561648877136,1.274695055900125
2022-06-22,1.7564657118375742,1.452443467854048,1.7247034684810214,1.0719794687296713,1.2774305920479911
2022-06-23,1.7498261763828276,1.4449303032873697,1.7137415473658557,1.0711622100846034,1.271171679342654
2022-06-24,1.7635749144012807,1.455909311862139,1.7351508276428644,1.087343273410979,1.2820644943046857
2022-06-27,1.7662116190706139,1.4590494723625487,1.7390174306280366,1.0891555907831114,1.2845947336785877
2022-06-28,1.7519312583428641,1.4471749693100298,1.7254908897944916,1.0834764491531237,1.2735493741497081
2022-06-29,1.7526606846674095,1.4475685659566657,1.7260579699300098,1.0837356761827868,1.2740871756301535
2022-06-30,1.7548409656859252,1.44933777688406,1.7246163175323146,1.0820598183297747,1.27389886692754
2022-07-01,1.758965371186868,1.4482829747407668,1.726749775743399,1.0824061293893723,1.2762963294520049
2022-07-05,1.7649595520298227,1.451230129179081,1.731224290161897,1.0842571952980642,1.2809233448579587
2022-07-06,1.763826763029369,1.4492534258059628,1.7290784712883762,1.0826736804780297,1.2786874134499366
2022-07-07,1.7634161490176223,1.4480748280021407,1.722190413662082,1.0831873861908239,1.273562321437439
2022-07-08,1.7668270470966556,1.448392196260897,1.7225389787564827,1.0843367143930476,1.2763067927254732
2022-07-11,1.769634779731034,1.446184650168026,1.7224226241885592,1.0737103743148897,1.27169022459781
2022-07-12,1.745791044485598,1.4308913984828469,1.703459348100134,1.061685711038962,1.2613288330841836
2022-07-13,1.7459510122585251,1.4331063489255933,1.70067799389555,1.0584247175070411,1.2598041020978765
2022-07-14,1.7446232479528596,1.4336545254698383,1.7010472901936358,1.0583865380071367,1.260328485466922
2022-07-15,1.7358274397315745,1.4273037118896625,1.6967060132492597,1.062950034716543,1.2545669160532118
2022-07-18,1.728455086065053,1.4143302916797682,1.686907272495334,1.0541620262850842,1.245769348810865
2022-07-19,1.7199948725387486,1.4142577608097993,1.6810959123469285,1.056595710611024,1.2386990527527766
2022-07-20,1.69745694804141,1.4017356833615366,1.6652984303352534,1.0392105999033936,1.2280147998006608
2022-07-21,1.6683763563473486,1.3886479941665038,1.629661275870134,1.0276762741426668,1.2178127229537474
2022-07-22,1.671916360229723,1.3908722697977813,1.6332629709914015,1.031065402855395,1.2171633065897307
2022-07-25,1.6758854946256336,1.3987044245873466,1.6398711596775877,1.0370581572490591,1.2198980157039243
2022-07-26,1.6740689081440547,1.3989913491917632,1.6396536346930952,1.039293613288603,1.2218007581423471
2022-07-27,1.6704110656166786,1.3928434441559703,1.6311979062281465,1.0404623407777653,1.2213959669434675
2022-07-28,1.6596209422054176,1.3895694447698952,1.6277276908872187,1.0168977613720591,1.2184563626312803
2022-07-29,1.6528887089867978,1.3843777267165982,1.6215477186142178,1.0124144540297446,1.2168272183366373
2022-08-01,1.64641215909517,1.3802807705543454,1.6162196629901395,1.0101873451809256,1.2142913362236738
2022-08-02,1.64647844993346,1.38042107711773,1.6159585032808885,1.0112466800422235,1.2145809073145977
2022-08-03,1.6558751175824393,1.3898827952818649,1.6211850765219669,1.0172539863578023,1.223034458073017
2022-08-04,1.6537250354578539,1.386509380892015,1.6189558088909108,1.0139682114087172,1.219625712696871
2022-08-05,1.643869543861572,1.3816014304052486,1.6145515622354103,1.0098659637544873,1.2144991400027325
2022-08-08,1.6432084572347234,1.3806899857221988,1.6137299907347282,1.0094649697935956,1.2141630679444209
2022-08-09,1.6446866567835292,1.3812577560976218,1.614787071933278,1.0104813060671813,1.2155275415247602
2022-08-10,1.6425185821260564,1.3767318707141623,1.608825971647072,1.011572930427303,1.2117159268551991
2022-08-11,1.6418814682896596,1.3756690190810572,1.60838574524235,1.010801276085427,1.210835827853062
2022-08-12,1.6409427012872075,1.3744142549184752,1.6062498645399494,1.010625468146883,1.213738898437926
2022-08-15,1.6421987752025435,1.3760635031649777,1.60770937527163,1.0112740119676213,1.216358568914494
2022-08-16,1.6430028019181109,1.3765284563616502,1.6085047323315487,1.0119110517969265,1.2164549579469122
2022-08-17,1.6452496899343803,1.3756284256083888,1.6103717012444003,1.011376127330788,1.216078706635612
2022-08-18,1.6464887264216117,1.3782952283695888,1.613354340139888,1.0127690350424055,1.2178250183951755
2022-08-19,1.6544825240141232,1.3845382140694604,1.620113401973682,1.0179644918737512,1.2215977594530976
2022-08-22,1.6580317314203352,1.3843500629281877,1.6205230462196496,1.0144880138827304,1.223024501319104
2022-08-23,1.6534596897355123,1.3799354245620856,1.6153922670084486,1.010118467080473,1.2215881941901463
2022-08-24,1.652582981368784,1.3793476476965898,1.6146753553802404,1.0088714295243675,1.2215130720838405
2022-08-25,1.6545105217181864,1.3788547505903899,1.6145864849900569,1.0105895461312238,1.2213091307044246
